association_name,canonical,score,wup,bert,method,verb_tokens,prep_tokens,adverb_tokens,all_tokens,participants,occurrence_count,low_confidence
AutomationControllerCoordinatesApplianceSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | appliance | system,ApplianceSystem + AutomationController,2,
AutomationControllerCoordinatesClimateSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | climate | system,AutomationController + ClimateSystem,2,
AutomationControllerCoordinatesEnergyManagementSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | energy | management | system,AutomationController + EnergyManagementSystem,2,
AutomationControllerCoordinatesLightingSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | lighting | system,AutomationController + LightingSystem,2,
AutomationControllerCoordinatesMediaSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | media | system,AutomationController + MediaSystem,2,
AutomationControllerCoordinatesSecuritySystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | security | system,AutomationController + SecuritySystem,2,
AutomationControllerCoordinatesWaterManagementSystem,CapableOf,0.6844,1.0,0.3689,wup+bert,coordinates,,,automation | controller | coordinates | water | management | system,AutomationController + WaterManagementSystem,2,
AutomationPolicyEvaluatesSensedCondition,ReceivesAction,0.6518,1.0,0.3036,wup+bert,evaluates,,,automation | policy | evaluates | sensed | condition,AutomationPolicy + SensedCondition,2,
AutomationPolicyProducesDecision,Causes,0.7887,1.0,0.5774,wup+bert,produces,,,automation | policy | produces | decision,AutomationPolicy + Decision,2,
AutomobileComposedWithBodyFrame,MadeOf,0.6561,0.75,0.5622,wup+bert,composed,with,,automobile | composed | with | body | frame,Automobile + BodyFrame,2,
AutomobilePackagedWithEngineAssembly,MadeOf,0.3854,0.25,0.5207,wup+bert,packaged,with,,automobile | packaged | with | engine | assembly,Automobile + EngineAssembly,2,YES
AutomobilePackagedWithFrontCornerModule,MadeOf,0.3854,0.25,0.5207,wup+bert,packaged,with,,automobile | packaged | with | front | corner | module,Automobile + FrontCornerModule,2,YES
AutomobilePackagedWithRearCornerModule,MadeOf,0.3854,0.25,0.5207,wup+bert,packaged,with,,automobile | packaged | with | rear | corner | module,Automobile + RearCornerModule,2,YES
AxleAssemblyRotatesWheel,UsedFor,0.5965,0.8,0.3929,wup+bert,rotates,,,axle | assembly | rotates | wheel,AxleAssembly + Wheel,2,
AxleToWheelMount,UsedFor,0.42,0.0,0.42,wup+bert,,to,,axle | to | wheel | mount,Axle + Wheel,2,YES
BackupGeneratorSupportsDiagnosticCluster,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,backup | generator | supports | diagnostic | cluster,BackupGenerator + DiagnosticCluster,2,
BasketInPortafilter,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,basket | in | portafilter,FilterBasket + Portafilter,2,
BatteryFeedsMeter,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,battery | feeds | meter,HomeBattery + SmartEnergyMeter,4,
BatteryPowersHome,UsedFor,0.7496,1.0,0.4993,wup+bert,powers,,,battery | powers | home,HomeBattery + SmartEnergyMeter,2,
BatteryPowersStarter,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,battery | powers | starter,Battery + StarterMotor,4,
BatteryPowersStarterMotor,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,battery | powers | starter | motor,Battery + StarterMotor,2,
BatteryStorageSuppliesHome,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,battery | storage | supplies | home,BatteryStorage + Home,2,
BatteryToStarterMotorPower,UsedFor,0.3775,0.0,0.3775,wup+bert,,to,,battery | to | starter | motor | power,Battery + StarterMotor,2,YES
BedInICUBay,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,bed | in | icu | bay,ICUBay + PatientBed,2,
BedInPatientRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,bed | in | patient | room,PatientBed + PatientRoom,2,
BedsideMonitorOnNetwork,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,bedside | monitor | on | network,BedsideMonitor + HospitalNetwork,2,
BeerLineConnectsKegToTap,Connects,0.8784,1.0,0.7569,wup+bert,connects,to,,beer | line | connects | keg | to | tap,BeerLine + BeerTap + Keg,2,
BlindFilterBackflushes,RelatedTo,0.1824,0.0,0.3647,fallback,,,,blind | filter | backflushes,BlindFilter + Portafilter,4,YES
BlindFilterInPortafilter,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,blind | filter | in | portafilter,BlindFilter + Portafilter,2,
BlindsInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,blinds | in | room,MotorizedBlinds + Room,2,
BlowoffOnFermenter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,blowoff | on | fermenter,BlowoffTube + Fermenter,2,
BodyFrameSupportsEngineBlock,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,body | frame | supports | engine | block,BodyFrame + EngineBlock,2,
BodyFrameSupportsSuspensionAssembly,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,body | frame | supports | suspension | assembly,BodyFrame + SuspensionAssembly,2,
BodyPanelOnChassis,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,body | panel | on | chassis,BodyPanel + Chassis,2,
BodyPanelOnFrame,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,body | panel | on | frame,BodyPanel + Frame,2,
BoilerFeedsPump,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,boiler | feeds | pump,Boiler + PumpAssembly,2,
BoilerFeedsSteam,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,boiler | feeds | steam,Boiler + SteamWand,2,
BoilerFeedsSteamWand,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,boiler | feeds | steam | wand,Boiler + SteamWand,2,
BoomInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,boom | in | or,OperatingRoom + SurgicalBoom,2,
BoosterAssistsMasterCylinder,UsedFor,0.4173,0.3333,0.5012,wup+bert,assists,,,booster | assists | master | cylinder,BrakeBooster + BrakeMasterCylinder,2,YES
BottleWasherCleansBottle,CapableOf,0.5257,0.6,0.4514,wup+bert,cleans,,,bottle | washer | cleans | bottle,Bottle + BottleWasher,2,
BrakeAssemblyActsOnWheel,CapableOf,0.7492,1.0,0.4984,wup+bert,acts,on,,brake | assembly | acts | on | wheel,BrakeAssembly + Wheel,2,
BrakeCaliperActsOnTireWheelUnit,CapableOf,0.7492,1.0,0.4984,wup+bert,acts,on,,brake | caliper | acts | on | tire | wheel | unit,BrakeCaliper + TireWheelUnit,2,
BrakeDiscToWheelMount,UsedFor,0.42,0.0,0.42,wup+bert,,to,,brake | disc | to | wheel | mount,BrakeDisc + Wheel,2,YES
BrakingActsOnWheelAssembly,CapableOf,0.7492,1.0,0.4984,wup+bert,acts,on,,braking | acts | on | wheel | assembly,BrakingHardware + WheelAssembly,2,
BrewAreaAdjacentToSeatingArea,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,brew | area | adjacent | to | seating | area,BrewArea + SeatingArea,2,
BrewAreaContainsCounterSurface,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brew | area | contains | counter | surface,BrewArea + CounterSurface,2,
BrewBasketSitsInDripMachine,MadeOf,0.4758,0.75,0.2016,wup+bert,sits,in,,brew | basket | sits | in | drip | machine,BrewBasket + DripBrewMachine,2,YES
BrewStandSupportsBurner,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,brew | stand | supports | burner,BrewStand + Burner,2,
BrewStandSupportsKettle,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,brew | stand | supports | kettle,BrewStand + Kettle,2,
BrewingStationContainsBoilKettle,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | boil | kettle,BoilKettle + BrewingStation,2,
BrewingStationContainsFermenter,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | fermenter,BrewingStation + Fermenter,2,
BrewingStationContainsHeatingEquipment,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | heating | equipment,BrewingStation + HeatingEquipment,2,
BrewingStationContainsMashTun,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | mash | tun,BrewingStation + MashTun,2,
BrewingStationContainsMeasurementTool,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | measurement | tool,BrewingStation + MeasurementTool,2,
BrewingStationContainsPackagingContainer,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | packaging | container,BrewingStation + PackagingContainer,2,
BrewingStationContainsSanitationSupply,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | sanitation | supply,BrewingStation + SanitationSupply,2,
BrewingStationContainsTransferTool,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,brewing | station | contains | transfer | tool,BrewingStation + TransferTool,2,
BrewingStationStoresAdjunct,ReceivesAction,0.385,0.5714,0.1985,wup+bert,stores,,,brewing | station | stores | adjunct,Adjunct + BrewingStation,2,YES
BrewingStationStoresHop,ReceivesAction,0.385,0.5714,0.1985,wup+bert,stores,,,brewing | station | stores | hop,BrewingStation + Hop,2,YES
BrewingStationStoresMaltedGrain,ReceivesAction,0.385,0.5714,0.1985,wup+bert,stores,,,brewing | station | stores | malted | grain,BrewingStation + MaltedGrain,2,YES
BrewingStationStoresWater,ReceivesAction,0.385,0.5714,0.1985,wup+bert,stores,,,brewing | station | stores | water,BrewingStation + Water,2,YES
BrewingStationStoresYeast,ReceivesAction,0.385,0.5714,0.1985,wup+bert,stores,,,brewing | station | stores | yeast,BrewingStation + Yeast,2,YES
BridgeConnectsProtocols,Connects,0.7368,1.0,0.4737,wup+bert,connects,,,bridge | connects | protocols,ProtocolBridge + SmartHomeHub,2,
BrushCleansGroupHead,CapableOf,0.5257,0.6,0.4514,wup+bert,cleans,,,brush | cleans | group | head,GroupHead + GroupHeadBrush,2,
BuildingContainsDiningUnit,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,building | contains | dining | unit,Building + DiningUnit,2,
BuildingContainsFloor,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,building | contains | floor,Building + Floor,2,
BuildingContainsHousingUnit,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,building | contains | housing | unit,Building + HousingUnit,2,
BuildingContainsRoom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,building | contains | room,Building + Room,2,
BulbInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,bulb | in | room,Room + SmartBulb,2,
BurnerHeatsKettle,UsedFor,0.6689,0.8571,0.4807,wup+bert,heats,,,burner | heats | kettle,Burner + Kettle,2,
BurnerUnderKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,under,,burner | under | kettle,BrewKettle + PropaneBurner,2,
BurrInGrinder,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,burr | in | grinder,BurrSet + CoffeeGrinder,2,
CO2TankToRegulator,CapableOf,0.5281,0.0,0.5281,wup+bert,,to,,co | tank | to | regulator,CO2Regulator + CO2Tank,6,
CODetectorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,co | detector | in | room,CODetector + Room,2,
CTInSuite,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,ct | in | suite,CTScanner + ImagingSuite,2,
CVJointOnHalfShaft,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,cv | joint | on | half | shaft,CVJoint + HalfShaft,2,
CafeInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,cafe | in | building,Building + Cafe,2,
CaliperClampsPadToRotor,Connects,0.6118,0.75,0.4736,wup+bert,clamps,to,,caliper | clamps | pad | to | rotor,BrakeCaliper + BrakePad + BrakeRotor,2,
CaliperToPadToDiscClamping,UsedFor,0.3895,0.0,0.3895,wup+bert,,to | to,,caliper | to | pad | to | disc | clamping,BrakeCaliper + BrakeDisc + BrakePad,2,YES
CameraCoversRoom,Causes,0.6348,0.9333,0.3363,wup+bert,covers,,,camera | covers | room,Room + SecurityCamera,2,
CameraMonitorsOutdoor,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,camera | monitors | outdoor,OutdoorArea + SecurityCamera,2,
CameraMonitorsRoom,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,camera | monitors | room,Camera + Room; Room + SecurityCamera,6,
CameraRecordsToNAS,ReceivesAction,0.6982,1.0,0.3963,wup+bert,records,to,,camera | records | to | nas,NASDevice + SecurityCamera,4,
CampusContainsBuilding,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,campus | contains | building,Building + Campus,2,
CamshaftActuatesValve,Causes,0.7409,1.0,0.4818,wup+bert,actuates,,,camshaft | actuates | valve,Camshaft + Valve,2,
CamshaftOperatesValveTrain,UsedFor,0.8085,1.0,0.6169,wup+bert,operates,,,camshaft | operates | valve | train,Camshaft + ValveTrain,2,
CanisterFeedsHopper,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,canister | feeds | hopper,BeanCanister + GrinderHopper,6,
CapperSealsBottle,Connects,0.583,0.8333,0.3326,wup+bert,seals,,,capper | seals | bottle,Bottle + BottleCap + BottleCapper,6,
CapperUsedWithBottleSet,Connects,0.4969,0.5,0.4938,wup+bert,used,with,,capper | used | with | bottle | set,BottleSet + Capper,2,YES
CarafePoursToCup,UsedFor,0.5886,0.8571,0.3201,wup+bert,pours | cup,to,,carafe | pours | to | cup,Carafe + CoffeeMug,6,
CarbonationCapOnBottle,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,carbonation | cap | on | bottle,Bottle + CarbonationCap,2,
CarbonationStoneInKeg,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,carbonation | stone | in | keg,CarbonationStone + Keg,6,
CareTeamNursingTask,CapableOf,0.6271,1.0,0.2542,wup+bert,,,,care | team | nursing | task,CareTeam + NursingTask,1,
CareTeamRound,CapableOf,0.6488,1.0,0.2976,wup+bert,,,,care | team | round,CareTeam + PatientRound,1,
CareerServicesFinancialAid,UsedFor,0.5642,1.0,0.1284,wup+bert,services,,,career | services | financial | aid,CareerServices + FinancialAidOffice,1,
CenterIncubator,MadeOf,0.5151,0.8235,0.2066,wup+bert,,,,center | incubator,Incubator + ResearchCenter,1,
CenterLab,AtLocation,0.6001,0.875,0.3252,wup+bert,,,,center | lab,ResearchCenter + ResearchLab,1,
CenterProject,Causes,0.5008,0.6667,0.335,wup+bert,,,,center | project,ResearchCenter + ResearchProject,1,
CenterResearchLab,AtLocation,0.5708,0.875,0.2667,wup+bert,,,,center | research | lab,ResearchCenter + ResearchLab,1,
CentralSupplyAreaSupportsPatientBay,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,central | supply | area | supports | patient | bay,CentralSupplyArea + PatientBay,2,
CentralSupplyAreaSupportsProcedureSuite,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,central | supply | area | supports | procedure | suite,CentralSupplyArea + ProcedureSuite,2,
CentrifugeInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,centrifuge | in | lab,Centrifuge + ClinicalLaboratory,2,
ChassisSupportsControlArm,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,chassis | supports | control | arm,Chassis + ControlArm,2,
ChassisSupportsEngineMount,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,chassis | supports | engine | mount,Chassis + EngineMount,2,
ChillerAdjacentToBoilVesselAndFermentationVessel,AtLocation,0.5092,0.5,0.5185,wup+bert,,to,,chiller | adjacent | to | boil | vessel | and | fermentation | vessel,BoilVessel + Chiller + FermentationVessel,2,
ChillerInKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,chiller | in | kettle,BrewKettle + WortChiller,2,
ChillerToFermenter,Causes,0.399,0.0,0.399,wup+bert,,to,,chiller | to | fermenter,Fermenter + WortChiller,4,YES
CircuitBreakerPanelPowersImagingMachine,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,circuit | breaker | panel | powers | imaging | machine,CircuitBreakerPanel + ImagingMachine,2,
CircuitBreakerPanelPowersSurgicalLight,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,circuit | breaker | panel | powers | surgical | light,CircuitBreakerPanel + SurgicalLight,2,
ClassroomInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,classroom | in | room,Classroom + Room,2,
ClimateSystemConditionsZone,HasA,0.5142,0.6,0.4284,wup+bert,conditions,,,climate | system | conditions | zone,ClimateSystem + Zone,2,
ClinicInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,clinic | in | building,Building + OutpatientClinic,2,
CoffeeEnvironmentContainsWorkspace,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | environment | contains | workspace,CoffeeEnvironment + Workspace,2,
CoffeeMakerContainsBrewBasket,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | maker | contains | brew | basket,BrewBasket + CoffeeMaker,2,
CoffeeMakerContainsHeatingElement,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | maker | contains | heating | element,CoffeeMaker + HeatingElement,2,
CoffeeMakerContainsReservoir,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | maker | contains | reservoir,CoffeeMaker + Reservoir,2,
CoffeeMakerContainsWarmingPlate,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | maker | contains | warming | plate,CoffeeMaker + WarmingPlate,2,
CoffeeSettingContainsPreparationZone,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | setting | contains | preparation | zone,CoffeeSetting + PreparationZone,2,
CoffeeSettingIncludesAmbientRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,coffee | setting | includes | ambient | role,AmbientRole + CoffeeSetting,2,
CoffeeSettingIncludesSeatingRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,coffee | setting | includes | seating | role,CoffeeSetting + SeatingRole,2,
CoffeeSettingIncludesServiceRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,coffee | setting | includes | service | role,CoffeeSetting + ServiceRole,2,
CoffeeStationContainsBrewAccessorySet,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | station | contains | brew | accessory | set,BrewAccessorySet + CoffeeStation,2,
CoffeeStationContainsCoffeeMakerAssembly,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,coffee | station | contains | coffee | maker | assembly,CoffeeMakerAssembly + CoffeeStation,2,
ColdSideClusterContainsAirlock,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,cold | side | cluster | contains | airlock,Airlock + ColdSideCluster,2,
ColdSideClusterContainsChiller,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,cold | side | cluster | contains | chiller,Chiller + ColdSideCluster,2,
ColdSideClusterContainsFermentationVessel,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,cold | side | cluster | contains | fermentation | vessel,ColdSideCluster + FermentationVessel,2,
CollegeContainsDepartment,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,college | contains | department,College + Department,2,
CollegeInUniversity,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,college | in | university,College + University,2,
CommandTargetsActuatorGroup,CapableOf,0.7371,1.0,0.4743,wup+bert,targets,,,command | targets | actuator | group,ActuatorGroup + Command,2,
ComputerLabInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,computer | lab | in | building,Building + ComputerLab,2,
ComputingLabInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,computing | lab | in | room,ComputingLab + Room,2,
ConsumerRoleUsesServingVesselRole,HasPrerequisite,0.5265,0.5,0.5531,wup+bert,uses,,,consumer | role | uses | serving | vessel | role,ConsumerRole + ServingVesselRole,2,
ConsumerUsesCup,HasPrerequisite,0.5265,0.5,0.5531,wup+bert,uses,,,consumer | uses | cup,Consumer + Cup,4,
ConsumptionContextAccommodatesConsumer,UsedFor,0.683,0.8571,0.5088,wup+bert,accommodates,,,consumption | context | accommodates | consumer,Consumer + ConsumptionContext,2,
ContactSensorOnOpening,HasA,0.5532,0.75,0.3565,wup+bert,,on,,contact | sensor | on | opening,DoorWindowSensor + Room,6,
ControlArmSupportsHubAssembly,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,control | arm | supports | hub | assembly,ControlArm + HubAssembly,2,
ControllerRegulatesChamber,CapableOf,0.7854,1.0,0.5708,wup+bert,regulates,,,controller | regulates | chamber,FermentationChamber + FermentationTemperatureController; FermentationChamber + TemperatureController,6,
CoolingCircuitServicesEngine,UsedFor,0.6851,1.0,0.3702,wup+bert,services,,,cooling | circuit | services | engine,CombustionAssembly + CoolingCircuit,2,
CoolingFanAidsRadiator,MadeOf,0.4526,0.6667,0.2386,wup+bert,aids,,,cooling | fan | aids | radiator,CoolingFan + Radiator,2,YES
CoolingSystemToEngineInterface,UsedFor,0.5177,0.0,0.5177,wup+bert,,to,,cooling | system | to | engine | interface,CoolingSystem + Engine,2,
CounterSurfaceSupportsAdditiveContainer,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,counter | surface | supports | additive | container,AdditiveContainer + CounterSurface,2,
CounterSurfaceSupportsCoffeeMaker,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,counter | surface | supports | coffee | maker,CoffeeMaker + CounterSurface,2,
CounterSurfaceSupportsCup,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,counter | surface | supports | cup,CounterSurface + Cup,2,
CounterSurfaceSupportsGrinder,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,counter | surface | supports | grinder,CounterSurface + Grinder,2,
CounterSurfaceSupportsStorageCanister,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,counter | surface | supports | storage | canister,CounterSurface + StorageCanister,2,
CouplerOnKeg,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,coupler | on | keg,Keg + KegCoupler,2,
CourseCatalogEntryScheduledAsCourseSection,CapableOf,0.7693,1.0,0.5385,wup+bert,scheduled,as,,course | catalog | entry | scheduled | as | course | section,CourseCatalogEntry + CourseSection,2,
CourseInDepartment,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,course | in | department,Course + Department,2,
CourseInProgram,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,course | in | program,AcademicProgram + Course,6,
CourseOutcome,Causes,0.7186,1.0,0.4373,wup+bert,,,,course | outcome,Course + LearningOutcome,1,
CoursePrerequisite,HasPrerequisite,0.6372,1.0,0.2743,wup+bert,,,,course | prerequisite,Course + Course; Course + Prerequisite,7,
